"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,2,62,1,0,10,1,61000,70200
2019,1,53,1,0,6,1,80000,130000
2019,2,53,1,0,8,1,50000,130000
2019,1,77,1,0,10,3,25800,25800
2019,2,69,1,0,10,1,50600,50600
2019,2,74,1,0,10,3,30200,212200
2019,1,79,1,0,6,1,182000,212200
2019,2,56,2,0,2,3,8700,36900
2019,2,39,2,0,6,1,21700,36900
2019,2,36,2,0,6,2,0,36900
2019,2,15,2,0,3,0,0,36900
2019,2,9,2,0,1,0,NA,36900
2019,1,1,2,0,0,0,NA,36900
2019,1,19,2,0,6,3,6500,36900
2019,2,42,1,0,10,3,3000,93000
2019,1,43,1,0,10,1,90000,93000
2019,1,3,3,0,0,0,NA,93000
2019,1,42,1,0,7,3,8000,8000
